city,old_candidates_2026_08_04,new_candidates_2026_09_05,removed_since_08_04,removal_rate_percent,new_codes_not_in_old_snapshot,choice_1_removed,choice_2_removed,choice_3_removed,choice_4_plus_removed,first_old_rank_still_waiting,median_old_rank_still_waiting,last_old_rank_still_waiting,max_new_rank,median_rank_compression,p25_rank_compression,p75_rank_compression,inferred_assignment_strong,choice_1_exit_or_assignment,next_list_central_rank,next_list_optimistic_rank
Agadir,5348,5198,573,10.71,423,207,200,154,12,182,2962,5350,5200,573,573,573,28,207,87,155
Al Hoceima,1257,2400,681,54.18,1824,28,186,185,282,752,1185,1530,2400,844,844,844,167,28,43,70
Beni Mellal,4329,5032,807,18.64,1510,95,92,371,249,662,2570,4330,5034,807,807,807,337,95,96,149
Casablanca,6156,5991,493,8.01,328,217,169,70,37,117,3335,6170,6000,498,498,498,0,217,159,227
Dakhla,3279,4537,1121,34.19,2379,14,64,201,842,1122,2202,3280,4539,1121,1121,1121,742,14,205,316
El Hajeb,1376,2800,518,37.65,1942,72,160,126,160,664,1468,2160,2800,848,848,848,86,72,38,62
El Jadida,3566,5995,720,20.19,3149,34,71,297,318,724,2148,3570,6000,723,723,723,476,34,154,245
Fès,4518,5155,739,16.36,1376,263,207,181,88,488,2722,4700,5155,768,768,768,16,263,37,55
Kenitra,4865,4693,569,11.7,397,104,45,106,314,287,2722,4870,4700,569,569,569,12,104,180,212
Marrakesh,3909,3599,603,15.43,293,251,248,86,18,14,2258,3910,3600,603,580,603,0,251,84,106
Oujda,2939,4778,642,21.84,2481,159,79,164,240,905,2428,3940,4778,904,904,904,192,159,95,159
Settat,5961,6492,531,8.91,1062,109,230,141,51,452,3252,5970,6500,532,532,532,146,109,199,314
Tanger,4463,5166,571,12.79,1274,148,133,181,109,313,2922,5359,5166,691,691,691,0,148,108,167
