city,code,rank_2026_09_05,choice_2026_09_05,rank_2026_08_04,choice_2026_08_04
Agadir,G146080444,1,2,182,2
Agadir,D149102150,2,1,183,1
Agadir,G142085729,3,1,184,1
Agadir,D144099142,4,1,185,1
Agadir,D146144688,5,1,186,1
Agadir,F140096340,6,1,187,1
Agadir,D147112022,7,1,188,1
Agadir,G149106475,8,2,198,2
Agadir,G147119932,9,2,203,2
Agadir,D135804353,10,1,206,1
Agadir,G141118902,11,2,216,2
Agadir,M145098779,12,2,217,2
Agadir,D140086528,13,1,218,1
Agadir,D142112142,14,1,220,1
Agadir,D140127340,15,2,224,2
Agadir,G140067181,16,2,225,2
Agadir,G140088098,17,2,228,2
Agadir,G145068868,18,2,230,2
Agadir,G148096113,19,2,232,2
Agadir,G146091307,20,2,234,2
Agadir,C141012597,21,1,237,1
Agadir,D147121263,22,1,238,1
Agadir,D143127039,23,1,239,1
Agadir,D144141417,24,1,243,1
Agadir,G146117290,25,2,247,2
Agadir,G148069218,26,2,252,2
Agadir,G143084224,27,2,259,2
Agadir,D148101170,28,2,261,2
Agadir,G134725845,29,2,268,2
Agadir,K149073773,30,2,270,2
Agadir,K141099991,31,2,273,2
Agadir,G140069046,32,2,275,2
Agadir,G146083431,33,2,279,2
Agadir,D140134597,34,1,280,1
Agadir,D143100585,35,1,281,1
Agadir,G145105590,36,2,283,2
Agadir,G141111368,37,2,284,2
Agadir,K145105578,38,2,285,2
Agadir,B142009012,39,1,288,1
Agadir,G136820055,40,2,289,2
Agadir,D146081698,41,1,290,1
Agadir,B149010553,42,1,291,1
Agadir,D157000213,43,1,293,1
Agadir,D149116252,44,1,296,1
Agadir,G142119465,45,2,303,2
Agadir,K144084067,46,2,314,2
Agadir,G144082105,47,2,321,2
Agadir,G148090755,48,2,322,2
Agadir,D142149969,49,1,324,1
Agadir,C144008751,50,2,326,2
Agadir,D141135085,51,1,327,1
Agadir,C143007579,52,1,339,1
Agadir,G138052155,53,2,341,2
Agadir,D141092848,54,1,343,1
Agadir,D140133256,55,1,345,1
Agadir,D146139884,56,1,349,1
Agadir,D131652778,57,1,374,1
Agadir,D143142383,58,1,385,1
Agadir,D146107844,59,2,386,2
Agadir,G146078838,60,2,388,2
Agadir,G137816110,61,2,392,2
Agadir,K140099994,62,2,393,2
Agadir,D148084063,63,1,410,1
Agadir,G137804087,64,2,411,2
Agadir,D144117071,65,1,416,1
Agadir,D142096141,66,1,440,1
Agadir,D144082725,67,2,443,2
Agadir,D146143928,68,1,445,1
Agadir,G148073852,69,2,447,2
Agadir,D147123708,70,1,448,1
Agadir,G159000178,71,2,450,2
Agadir,C145009013,72,1,451,1
Agadir,D141104115,73,1,453,1
Agadir,D138740731,74,1,454,1
Agadir,D137908654,75,1,456,1
Agadir,C143008296,76,1,460,1
Agadir,K148061296,77,2,466,2
Agadir,D143125261,78,1,470,1
Agadir,D141106923,79,1,473,1
Agadir,D146049663,80,1,479,1
Agadir,L120007364,81,1,480,1
Agadir,D147106457,82,1,482,1
Agadir,G143084196,83,1,484,1
Agadir,K142078561,84,2,487,2
Agadir,D145022979,85,1,488,1
Agadir,D145110984,86,1,494,1
Agadir,D146097723,87,1,498,1
Agadir,G143089997,88,2,509,2
Agadir,D148009558,89,1,513,1
Agadir,G136719311,90,2,514,2
Agadir,D142112968,91,1,522,1
Agadir,D145141404,92,1,523,1
Agadir,G148090776,93,2,524,2
Agadir,D131095116,94,1,525,1
Agadir,D145125011,95,1,526,1
Agadir,G142122706,96,2,527,2
Agadir,D149128271,97,1,528,1
Agadir,D144127159,98,1,529,1
Agadir,D134694533,99,1,530,1
Agadir,D147071823,100,1,532,1
Agadir,G148113487,101,2,533,2
Agadir,L145080170,102,1,535,1
Agadir,B144007324,103,1,537,1
Agadir,C146011563,104,2,539,2
Agadir,G144072541,105,2,541,2
Agadir,D142137705,106,1,542,1
Agadir,D141122047,107,1,543,1
Agadir,G141124920,108,2,544,2
Agadir,D141115817,109,1,545,1
Agadir,G146066764,110,2,546,2
Agadir,G140067006,111,2,547,2
Agadir,D142118972,112,1,549,1
Agadir,G144103000,113,2,550,2
Agadir,D133611103,114,1,551,1
Agadir,G130770257,115,2,552,2
Agadir,G141076290,116,2,553,2
Agadir,G143062590,117,2,555,2
Agadir,D144125764,118,1,556,1
Agadir,D144094562,119,1,557,1
Agadir,D139775543,120,1,558,1
Agadir,C144014513,121,1,559,1
Agadir,G146013960,122,1,560,1
Agadir,D140111766,123,1,562,1
Agadir,C135145116,124,1,563,1
Agadir,G144094572,125,2,564,2
Agadir,D141128435,126,1,565,1
Agadir,D143113481,127,1,566,1
Agadir,D137617959,128,1,567,1
Agadir,G146098645,129,2,568,2
Agadir,K146059682,130,2,569,2
Agadir,D147089895,131,1,572,1
Agadir,D149081876,132,1,573,1
Agadir,D145143961,133,2,574,2
Agadir,F142101441,134,2,575,2
Agadir,D149001466,135,1,576,1
Agadir,G130817477,136,2,577,2
Agadir,K149064470,137,2,578,2
Agadir,E149195777,138,1,579,1
Agadir,G169000189,139,2,580,2
Agadir,G143078885,140,1,582,1
Agadir,D130620313,141,1,583,1
Agadir,G146066370,142,1,584,1
Agadir,G141093073,143,2,585,2
Agadir,D147105879,144,1,586,1
Agadir,D147098545,145,1,587,1
Agadir,M142113165,146,1,588,1
Agadir,F140083640,147,1,590,1
Agadir,D136635928,148,2,591,2
Agadir,G140089445,149,2,592,2
Agadir,B148007362,150,2,593,2
Agadir,G145116868,151,2,594,2
Agadir,D142150844,152,1,595,1
Agadir,D141108966,153,1,597,1
Agadir,G140115409,154,2,599,2
Agadir,G140112853,155,2,600,2
Agadir,C140010123,156,1,601,1
Agadir,K147076962,157,2,602,2
Agadir,L140081673,158,1,605,1
Agadir,G144052463,159,2,606,2
Agadir,G143066791,160,2,610,2
Agadir,D142125954,161,1,612,1
Agadir,F130203940,162,2,613,2
Agadir,D149078805,163,2,614,2
Agadir,C144010151,164,1,615,1
Agadir,G143103683,165,2,616,2
Agadir,G148080320,166,2,618,2
Agadir,B130073499,167,1,620,1
Agadir,G141109221,168,2,622,2
Agadir,D145103733,169,1,627,1
Agadir,G141073094,170,2,629,2
Agadir,K148059530,171,2,630,2
Agadir,K140100000,172,2,631,2
Agadir,D137574737,173,1,632,1
Agadir,G144071107,174,1,633,1
Agadir,C144006847,175,1,634,1
Agadir,G144088736,176,2,635,2
Agadir,C149006572,177,1,636,1
Agadir,K141071504,178,2,637,2
Agadir,K146071484,179,2,638,2
Agadir,D142127176,180,2,639,2
Agadir,G141095204,181,2,640,2
Agadir,D149097763,182,1,642,1
Agadir,D136576758,183,1,643,1
Agadir,D143110401,184,1,645,1
Agadir,D147128240,185,2,646,2
Agadir,R148130754,186,1,648,1
Agadir,K142076910,187,2,650,2
Agadir,C146015366,188,1,652,1
Agadir,K142085576,189,2,653,2
Agadir,D144128246,190,1,654,1
Agadir,D148122091,191,1,656,1
Agadir,D140145317,192,1,657,1
Agadir,G141064387,193,2,659,2
Agadir,D147132154,194,1,660,1
Agadir,D149077058,195,1,661,1
Agadir,D140104994,196,2,662,2
Agadir,G147105959,197,2,663,2
Agadir,A148004493,198,1,664,1
Agadir,D147146288,199,1,666,1
Agadir,D145117134,200,1,668,1
Agadir,D131720184,201,1,669,1
Agadir,C149013441,202,1,670,1
Agadir,K144014841,203,2,672,2
Agadir,D141119610,204,1,673,1
Agadir,D146131329,205,1,674,1
Agadir,D148109876,206,1,676,1
Agadir,K149087469,207,1,677,1
Agadir,E165055752,208,2,679,2
Agadir,C143006744,209,1,681,1
Agadir,D144103453,210,2,682,2
Agadir,G145087360,211,2,683,2
Agadir,D147120651,212,1,684,1
Agadir,D142114642,213,1,685,1
Agadir,D149103289,214,1,686,1
Agadir,G149088134,215,2,687,2
Agadir,K148098197,216,2,688,2
Agadir,G141082861,217,2,689,2
Agadir,K130024525,218,1,690,1
Agadir,D131269797,219,1,691,1
Agadir,D143131271,220,1,692,1
Agadir,D143143939,221,1,694,1
Agadir,G133799040,222,2,695,2
Agadir,D146135347,223,1,696,1
Agadir,D145144538,224,1,697,1
Agadir,D148115995,225,1,699,1
Agadir,D145138238,226,1,701,1
Agadir,G146090853,227,2,702,2
Agadir,D140113573,228,1,703,1
Agadir,C143009283,229,1,704,1
Agadir,G147119057,230,2,705,2
Agadir,D148139926,231,1,706,1
Agadir,G141124930,232,2,707,2
Agadir,K148084179,233,2,709,2
Agadir,D144078638,234,1,711,1
Agadir,G149081925,235,2,712,2
Agadir,G143090006,236,2,713,2
Agadir,D149036414,237,1,715,1
Agadir,D149110941,238,1,716,1
Agadir,G145111464,239,2,717,2
Agadir,C145013023,240,2,718,2
Agadir,K145102683,241,2,719,2
Agadir,D147010237,242,1,720,1
Agadir,R147152136,243,1,721,1
Agadir,D148147627,244,1,722,1
Agadir,K134421468,245,2,723,2
Agadir,G149070927,246,2,724,2
Agadir,D147116521,247,1,726,1
Agadir,G149063427,248,2,728,2
Agadir,D147116371,249,1,729,1
Agadir,G142111675,250,1,730,1
Agadir,G139821710,251,1,731,1
Agadir,G133820018,252,2,732,2
Agadir,B142010865,253,1,733,1
Agadir,D130824987,254,1,734,1
Agadir,D142098892,255,1,735,1
Agadir,D140123205,256,1,737,1
Agadir,G144084173,257,2,740,2
Agadir,D147111274,258,1,741,1
Agadir,D141128065,259,1,742,1
Agadir,D138860474,260,1,746,1
Agadir,D145082122,261,1,747,1
Agadir,G140085460,262,2,748,2
Agadir,K139424002,263,2,749,2
Agadir,B149007546,264,1,751,1
Agadir,D147087281,265,1,754,1
Agadir,G138762699,266,2,756,2
Agadir,G138748156,267,2,757,2
Agadir,G146127117,268,2,758,2
Agadir,D142133637,269,1,759,1
Agadir,J147079696,270,1,760,1
Agadir,D146083564,271,2,762,2
Agadir,D144137355,272,1,763,1
Agadir,L143065378,273,1,765,1
Agadir,G142076586,274,2,766,2
Agadir,M141109166,275,1,767,1
Agadir,G141073588,276,2,768,2
Agadir,K144080088,277,2,771,2
Agadir,D143106244,278,1,772,1
Agadir,D137595691,279,1,773,1
Agadir,G143011612,280,2,774,2
Agadir,D138603565,281,2,775,2
Agadir,D143101051,282,1,776,1
Agadir,L135269226,283,1,777,1
Agadir,D140129254,284,2,778,2
Agadir,K142068184,285,2,781,2
Agadir,N141093784,286,2,782,2
Agadir,D145116209,287,1,783,1
Agadir,D144136573,288,1,784,1
Agadir,D143090148,289,1,786,1
Agadir,G145064397,290,2,787,2
Agadir,D141131257,291,1,788,1
Agadir,G148068524,292,2,791,2
Agadir,G146096150,293,2,792,2
Agadir,D146103645,294,1,793,1
Agadir,F140102220,295,2,794,2
Agadir,D136595470,296,1,795,1
Agadir,K148099355,297,2,796,2
Agadir,G133819518,298,2,797,2
Agadir,C131145174,299,1,798,1
Agadir,R145137193,300,2,799,2
Agadir,G145094783,301,2,800,2
Agadir,K149098284,302,1,801,1
Agadir,D142079379,303,1,803,1
Agadir,D148004242,304,2,804,2
Agadir,D143113338,305,1,805,1
Agadir,D145109336,306,1,806,1
Agadir,D144117241,307,1,807,1
Agadir,D146116931,308,1,808,1
Agadir,G145123761,309,1,809,1
Agadir,D140117307,310,1,811,1
Agadir,D140143704,311,1,812,1
Agadir,D149128037,312,2,813,2
Agadir,G145089789,313,2,815,2
Agadir,G144135755,314,2,817,2
Agadir,D139601236,315,1,818,1
Agadir,D140110245,316,2,819,2
Agadir,B147009902,317,1,821,1
Agadir,D147105348,318,1,823,1
Agadir,G147068749,319,2,826,2
Agadir,D142111779,320,2,827,2
Agadir,H142097848,321,2,830,2
Agadir,D149106144,322,1,831,1
Agadir,G144110193,323,2,832,2
Agadir,K130470007,324,2,835,2
Agadir,G148075008,325,1,836,1
Agadir,D147089544,326,1,837,1
Agadir,D141105604,327,1,838,1
Agadir,G145123836,328,2,839,2
Agadir,D140109033,329,1,840,1
Agadir,D149106253,330,1,841,1
Agadir,D143126840,331,1,842,1
Agadir,D142115768,332,1,843,1
Agadir,S146063256,333,2,844,2
Agadir,L132025963,334,1,845,1
Agadir,K137524179,335,2,846,2
Agadir,G138800702,336,2,847,2
Agadir,D142089641,337,1,848,1
Agadir,G146135487,338,2,849,2
Agadir,G144089477,339,2,850,2
Agadir,D142090175,340,1,851,1
Agadir,D149141380,341,1,852,1
Agadir,D144097159,342,1,853,1
Agadir,G148083026,343,2,854,2
Agadir,G147006024,344,2,858,2
Agadir,G143063596,345,2,860,2
Agadir,D134802713,346,1,861,1
Agadir,G134744781,347,2,862,2
Agadir,G142089329,348,2,863,2
Agadir,G146062391,349,2,864,2
Agadir,D146100849,350,1,869,1
Agadir,G136786303,351,2,871,2
Agadir,D146139131,352,1,872,1
Agadir,G145069015,353,2,874,2
Agadir,G142077433,354,1,876,1
Agadir,D149097279,355,1,878,1
Agadir,D140116668,356,1,879,1
Agadir,G147079065,357,2,880,2
Agadir,D130626880,358,1,881,1
Agadir,D148106868,359,1,883,1
Agadir,G159000172,360,2,884,2
Agadir,K140071368,361,2,885,2
Agadir,D147138872,362,2,886,2
Agadir,D149138932,363,1,887,1
Agadir,M143110887,364,2,888,2
Agadir,D141102529,365,1,891,1
Agadir,K146084153,366,2,892,2
Agadir,C149006492,367,1,893,1
Agadir,D143082035,368,1,895,1
Agadir,G148073779,369,2,896,2
Agadir,G146118701,370,2,898,2
Agadir,G147139920,371,2,899,2
Agadir,D142122866,372,1,900,1
Agadir,D146141123,373,1,901,1
Agadir,D146130831,374,1,902,1
Agadir,K143068400,375,2,903,2
Agadir,D132593276,376,2,904,2
Agadir,G140106436,377,2,905,2
Agadir,D146121595,378,1,906,1
Agadir,D140108747,379,1,907,1
Agadir,G145138150,380,2,908,2
Agadir,D141100269,381,1,909,1
Agadir,G144072116,382,2,910,2
Agadir,D142116237,383,1,911,1
Agadir,H140108866,384,2,913,2
Agadir,D144112052,385,1,916,1
Agadir,G146071182,386,2,918,2
Agadir,K141099368,387,2,920,2
Agadir,D146097504,388,1,922,1
Agadir,G142093072,389,2,923,2
Agadir,D130582892,390,1,925,1
Agadir,G140005757,391,2,927,2
Agadir,D133063596,392,2,928,2
Agadir,L149099081,393,1,930,1
Agadir,G143111039,394,2,931,2
Agadir,D132842251,395,1,932,1
Agadir,D139838253,396,2,934,2
Agadir,D149140559,397,2,935,2
Agadir,D144117202,398,1,936,1
Agadir,D147103592,399,1,937,1
Agadir,G139718516,400,2,939,2
Agadir,G142070069,401,1,940,1
Agadir,D134629665,402,1,941,1
Agadir,P133300693,403,2,942,2
Agadir,G145070771,404,2,943,2
Agadir,D142123869,405,1,944,1
Agadir,D146048028,406,1,945,1
Agadir,D130852729,407,1,946,1
Agadir,G140089523,408,2,947,2
Agadir,D143114373,409,1,948,1
Agadir,G145069645,410,2,950,2
Agadir,B143008391,411,2,951,2
Agadir,G143080908,412,2,952,2
Agadir,D142121997,413,1,953,1
Agadir,K141072205,414,2,958,2
Agadir,D140131292,415,1,959,1
Agadir,K147081956,416,2,960,2
Agadir,D143090414,417,1,964,1
Agadir,B152000071,418,1,965,1
Agadir,D144145925,419,1,966,1
Agadir,G147066845,420,2,967,2
Agadir,F149102202,421,2,969,2
Agadir,G145099514,422,2,970,2
Agadir,G140104983,423,2,971,2
Agadir,D132843417,424,1,973,1
Agadir,D149121697,425,1,974,1
Agadir,G143093144,426,2,976,2
Agadir,D149088788,427,1,977,1
Agadir,K143067895,428,2,978,2
Agadir,D147113020,429,1,980,1
Agadir,M143076635,430,2,981,2
Agadir,D146123115,431,1,982,1
Agadir,D147113445,432,1,985,1
Agadir,G133752782,433,2,986,2
Agadir,D142080499,434,1,987,1
Agadir,S143089518,435,2,988,2
Agadir,D142145455,436,1,990,1
Agadir,G146076863,437,1,991,1
Agadir,D145093115,438,1,992,1
Agadir,G142128407,439,2,995,2
Agadir,G141124954,440,2,996,2
Agadir,A144005819,441,2,997,2
Agadir,B142009037,442,1,998,1
Agadir,G145142747,443,2,999,2
Agadir,L145075390,444,2,1002,2
Agadir,D148121602,445,1,1003,1
Agadir,L143073975,446,3,1004,3
Agadir,D141115939,447,1,1005,1
Agadir,G145135885,448,2,1006,2
Agadir,D143132191,449,1,1007,1
Agadir,M148096156,450,2,1008,2
Agadir,D130599311,451,1,1009,1
Agadir,D148133799,452,1,1010,1
Agadir,D147090765,453,1,1011,1
Agadir,G149092754,454,2,1012,2
Agadir,D144079567,455,2,1013,2
Agadir,L142075613,456,3,1014,3
Agadir,R144191645,457,1,1015,1
Agadir,R141147364,458,2,1016,2
Agadir,D142135664,459,1,1017,1
Agadir,D146027041,460,1,1018,1
Agadir,D144137198,461,1,1019,1
Agadir,K147067832,462,2,1020,2
Agadir,G148089619,463,2,1021,2
Agadir,C144006571,464,1,1022,1
Agadir,G148139197,465,3,1023,3
Agadir,L145077974,466,3,1024,3
Agadir,M140112101,467,3,1025,3
Agadir,D144122145,468,1,1026,1
Agadir,G149104754,469,2,1027,2
Agadir,G143073453,470,2,1028,2
Agadir,D141095829,471,2,1029,2
Agadir,G143093560,472,2,1030,2
Agadir,F135201560,473,3,1031,3
Agadir,G137758870,474,3,1032,3
Agadir,C144007666,475,1,1033,1
Agadir,D148151191,476,1,1034,1
Agadir,L148078069,477,2,1035,2
Agadir,L136059132,478,3,1036,3
Agadir,D142077175,479,1,1037,1
Agadir,J142080334,480,3,1038,3
Agadir,G145105018,481,2,1039,2
Agadir,D142107066,482,1,1040,1
Agadir,L147086781,483,1,1041,1
Agadir,D145092424,484,1,1042,1
Agadir,L147095681,485,3,1043,3
Agadir,G132830963,486,2,1044,2
Agadir,G147114938,487,1,1045,1
Agadir,M149089163,488,3,1046,3
Agadir,G146118310,489,1,1047,1
Agadir,K141066849,490,2,1048,2
Agadir,D143116735,491,1,1049,1
Agadir,L145071227,492,2,1050,2
