city,seats_2025,seats_2026,absolute_change,percent_change
Fes,1020,1020,0,0.00
Meknes,1000,1040,40,4.00
Oujda,1000,1000,0,0.00
Casablanca,920,920,0,0.00
Agadir,1000,1000,0,0.00
Sale,910,910,0,0.00
Beni Mellal,900,910,10,1.11
Safi,620,660,40,6.45
Essaouira,500,500,0,0.00
Guelmim,550,570,20,3.64
Laayoune,560,660,100,17.86
Khenifra,580,580,0,0.00
Kenitra,500,545,45,9.00
Sidi Bennour,280,280,0,0.00
Fquih Ben Salah,960,960,0,0.00
Nador,620,620,0,0.00
Kelaat Sraghna,450,510,60,13.33
Dakhla,440,510,70,15.91
Ouarzazate,240,260,20,8.33
Tetouan,400,400,0,0.00
Al Hoceima,0,120,120,new
Taounate,0,40,40,new
TOTAL,13450,14015,565,4.20
