date,city,program,vacancies,phase,source
2025-09-22,Sale,Construction Durable et Efficacité Énergétique,35,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Sale,Génie Bio-Industriel,29,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Sale,Génie Civil,31,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Sale,Génie de l'Eau et de l'Environnement,30,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Sale,Génie Electrique et Informatique Industrielle,18,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Sale,Génie Industriel,15,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Sale,Génie Informatique,19,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Sale,Management et Événementiel Durable du Sport,23,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Sale,Marketing Digital et Commercial,0,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Sale,Systèmes Embarqués Industriels,9,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Sale,Systèmes Informatiques et Décisionnels,0,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Sale,Systèmes Informatiques et Réseaux,0,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Sale,Techniques de Management,0,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Fes,Génie Electrique,50,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Fes,Gestion des Réseaux et Sécurité,45,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Fes,Agroalimentaire et Bioprocédés,55,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Fes,Génie des Procédés,60,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Fes,Génie Industriel et Maintenance,45,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Fes,Génie Mécanique et Productique,30,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Fes,Génie Thermique et Énergie,60,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Fes,Gestion des Ressources Humaines,40,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Fes,Gestion Logistique et Transport,30,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Fes,Ingénierie Logicielle,5,complementary_waitlist,tawjihnet_est_results_2025
2025-09-22,Fes,Ingénierie des Données,65,complementary_waitlist,tawjihnet_est_results_2025
2025-09-23,Essaouira,Génie Informatique,35,complementary_call,tawjihnet_est_results_2025
2025-09-23,Essaouira,Informatique Décisionnelle et Science de Données,1,complementary_call,tawjihnet_est_results_2025
2025-09-23,Essaouira,Techniques de Management,4,complementary_call,tawjihnet_est_results_2025
2025-09-23,Essaouira,Énergies Renouvelables,25,complementary_call,tawjihnet_est_results_2025
2025-09-23,Essaouira,Génie de l'Environnement,36,complementary_call,tawjihnet_est_results_2025
2025-09-23,Essaouira,Management du Tourisme,41,complementary_call,tawjihnet_est_results_2025
2025-09-24,Casablanca,Génie Electrique,75,complementary_waitlist,tawjihnet_est_results_2025
2025-09-24,Casablanca,Génie Mécanique et Productique,25,complementary_waitlist,tawjihnet_est_results_2025
2025-09-24,Casablanca,Génie Informatique,90,complementary_waitlist,tawjihnet_est_results_2025
2025-09-24,Casablanca,Génie des Procédés,83,complementary_waitlist,tawjihnet_est_results_2025
2025-09-24,Casablanca,Banque Finance Assurance,38,complementary_waitlist,tawjihnet_est_results_2025
2025-09-24,Casablanca,Management Digital des Organisations,30,complementary_waitlist,tawjihnet_est_results_2025
2025-09-24,Casablanca,E-Business et Management,30,complementary_waitlist,tawjihnet_est_results_2025
2025-09-24,Casablanca,Gestion Financière et Comptable,2,complementary_waitlist,tawjihnet_est_results_2025
2025-09-26,Kenitra,Génie Electrique et Systèmes Industriels,12,complementary_waitlist,tawjihnet_est_results_2025
2025-09-26,Kenitra,Génie Logiciel,11,complementary_waitlist,tawjihnet_est_results_2025
2025-09-26,Kenitra,Informatique Industrielle et Robotique,19,complementary_waitlist,tawjihnet_est_results_2025
2025-09-26,Kenitra,Systèmes Embarqués pour l'Automobile,8,complementary_waitlist,tawjihnet_est_results_2025
2025-09-26,Kenitra,Technologies Agroalimentaires,24,complementary_waitlist,tawjihnet_est_results_2025
2025-09-27,Fquih Ben Salah,Génie Civil,32,complementary_waitlist_3,tawjihnet_est_results_2025
2025-09-27,Fquih Ben Salah,Génie Biologique et Amélioration de la Production Animale,40,complementary_waitlist_3,tawjihnet_est_results_2025
2025-09-27,Fquih Ben Salah,Agrochimie,13,complementary_waitlist_3,tawjihnet_est_results_2025
2025-09-27,Fquih Ben Salah,Industries Agroalimentaires,6,complementary_waitlist_3,tawjihnet_est_results_2025
2025-10-01,Sale,Construction Durable et Efficacité Énergétique,20,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-01,Sale,Génie Bio-Industriel,25,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-01,Sale,Génie Civil,18,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-01,Sale,Génie de l'Eau et de l'Environnement,22,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-01,Sale,Génie Electrique et Informatique Industrielle,6,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-01,Sale,Génie Industriel,16,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-01,Sale,Génie Informatique,0,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-01,Sale,Management et Événementiel Durable du Sport,4,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-01,Sale,Marketing Digital et Commercial,33,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-01,Sale,Systèmes Embarqués Industriels,10,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-01,Sale,Systèmes Informatiques et Décisionnels,2,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-01,Sale,Systèmes Informatiques et Réseaux,3,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-01,Sale,Techniques de Management,0,last_complementary_waitlist,tawjihnet_est_results_2025
2025-10-02,Kenitra,Technologies Agroalimentaires,15,complementary_waitlist_2,tawjihnet_est_results_2025
