city,program,seats,weight_group
Safi,Qualité Hygiène Sécurité et Environnement,60,environment_process_mining
Safi,Instrumentation et Mesures Physico-Chimiques,60,instrumentation
Safi,Génie Electrique et Systèmes Automatisés,60,electrical_industrial
Safi,Génie Industriel et Maintenance,60,electrical_industrial
Safi,Génie Informatique,180,it
Safi,Techniques de Management,200,management
Safi,Énergie Durable et Hydrogène Vert,40,electrical_industrial
Agadir,Conception et Développement de Logiciel,120,it
Agadir,Entrepreneuriat Digital et Communication,140,management
Agadir,Génie Agroalimentaire,120,agro_bio
Agadir,Génie Biomédical,60,agro_bio
Agadir,Génie Electrique et Maintenance,70,electrical_industrial
Agadir,Génie Electrique-Systèmes Automatisés,70,electrical_industrial
Agadir,Systèmes Réseaux et Télécommunications,60,it
Agadir,Ingénierie des Données,100,it
Agadir,Marketing Digital et Expérience Utilisateur,60,management
Agadir,Techniques de Management,200,management
Dakhla,Génie Electrique,60,electrical_industrial
Dakhla,Génie des Procédés Alimentaires,60,agro_bio
Dakhla,Marketing Digital et Expérience Utilisateur,70,management
Dakhla,Ingénierie des Données,60,it
Dakhla,Informatique de Gestion,70,it
Dakhla,Gestion des Réseaux et Sécurité,60,it
Dakhla,Conception et Développement de Logiciel,60,it
Dakhla,Informatique et Gestion des Organisations,70,management
Casablanca,Banque Finance Assurance,100,management
Casablanca,E-Business et Management,100,management
Casablanca,Génie des Procédés Industriels,131,environment_process_mining
Casablanca,Génie Electrique,125,electrical_industrial
Casablanca,Génie Informatique,139,it
Casablanca,Génie Mécanique et Productique,125,mechanical
Casablanca,Gestion Financière et Comptable,100,management
Casablanca,Management Digital des Organisations,100,management
Essaouira,Énergies Renouvelables,70,electrical_industrial
Essaouira,Génie de l'Environnement,70,environment_process_mining
Essaouira,Génie Informatique,70,it
Essaouira,Informatique Décisionnelle et Science de Données,70,it
Essaouira,Management du Tourisme,110,management
Essaouira,Techniques de Management,110,management
Laayoune,Informatique et Gestion des Entreprises,60,management
Laayoune,Conception et Développement des Logiciels,60,it
Laayoune,Sciences des Données et Intelligence Artificielle,60,it
Laayoune,Médias et Production du Contenu Numérique,60,it
Laayoune,Marketing Digital et Expérience Utilisateur,60,management
Laayoune,Management Juridique et Financier,60,management
Laayoune,Génie Biologique,60,agro_bio
Laayoune,Génie Civil,60,civil
Laayoune,Réseaux et Cybersécurité,60,it
Laayoune,Génie Biomédical et Bioinformatique,60,agro_bio
Laayoune,Intelligence d'Affaires et Transformation Numérique,60,management
Fquih Ben Salah,Agrochimie,80,agro_bio
Fquih Ben Salah,Agro-énergie,70,agro_bio
Fquih Ben Salah,Chimie et Techniques d'Analyse,80,environment_process_mining
Fquih Ben Salah,Génie Biologique et Amélioration de la Production Animale,80,agro_bio
