group,bac_track,weight
management,S_ECO,1.3
management,S_GESTION_COMPTABLE,1.3
management,SMA,1.3
management,SMB,1.3
management,PC,1.2
management,SVT,1.2
management,AGRI,1.1
management,PRO_ACCOUNTING,1.1
management,PRO_COMMERCE,1.1
management,PRO_LOGISTICS,1.1
management,PRO_MANAGEMENT,1.1
it,SMA,1.5
it,SMB,1.5
it,PC,1.3
it,SVT,1.0
it,AGRI,1.0
it,STE,1.0
it,STM,1.0
it,PRO_IT_NETWORKS,1.0
it,PRO_DIGITAL_SYSTEMS,1.0
electrical_industrial,STE,1.5
electrical_industrial,STM,1.4
electrical_industrial,SMA,1.4
electrical_industrial,SMB,1.4
electrical_industrial,PC,1.3
electrical_industrial,SVT,1.2
electrical_industrial,PRO_ELECTRICAL,1.1
electrical_industrial,PRO_AUTOMOTIVE_MAINTENANCE,1.1
electrical_industrial,PRO_ELECTRONICS_TELECOM,1.1
electrical_industrial,PRO_IT_NETWORKS,1.1
electrical_industrial,PRO_DIGITAL_SYSTEMS,1.1
electrical_industrial,PRO_RENEWABLE_ENERGY,1.1
electrical_industrial,PRO_HVAC,1.1
mechanical,STM,1.5
mechanical,SMA,1.4
mechanical,SMB,1.4
mechanical,PC,1.1
mechanical,PRO_AERONAUTICS,1.0
mechanical,PRO_MECHANICAL_MANUFACTURING,1.0
mechanical,PRO_METAL_CONSTRUCTION,1.0
environment_process_mining,SMA,1.3
environment_process_mining,SMB,1.3
environment_process_mining,PC,1.2
environment_process_mining,SVT,1.2
environment_process_mining,AGRI,1.1
agro_bio,SMA,1.0
agro_bio,SMB,1.0
agro_bio,PC,1.4
agro_bio,SVT,1.2
agro_bio,AGRI,1.2
agro_bio,PRO_FARM_MANAGEMENT,1.0
civil,STM,1.3
civil,SMA,1.3
civil,SMB,1.3
civil,PC,1.2
civil,SVT,1.0
civil,PRO_CONSTRUCTION_SITE,1.0
civil,PRO_BUILDING_DESIGN,1.0
instrumentation,STE,1.1
instrumentation,STM,1.1
instrumentation,SMA,1.4
instrumentation,SMB,1.4
instrumentation,PC,1.3
instrumentation,SVT,1.1
