date,city,track,track_code,vacancies,phase,source
2025-09-23,Al Hoceima,Génie Physique,GP,19,complementary_waitlist_1,tawjihnet_fst_results_2025
2025-09-23,Al Hoceima,Mathématiques et Sciences des Données,MSD,8,complementary_waitlist_1,tawjihnet_fst_results_2025
2025-09-23,Al Hoceima,Génie Electrique et Systèmes Embarqués,GESE,12,complementary_waitlist_1,tawjihnet_fst_results_2025
2025-09-23,Al Hoceima,Génie de l'Environnement et Géosciences,GEG,10,complementary_waitlist_1,tawjihnet_fst_results_2025
2025-09-23,Al Hoceima,Génie Informatique,GI,27,complementary_waitlist_1,tawjihnet_fst_results_2025
2025-09-23,Al Hoceima,Génie Chimique,GC,11,complementary_waitlist_1,tawjihnet_fst_results_2025
2025-09-25,Tanger,Génie Biologique,GB,27,last_complementary_waitlist,tawjihnet_fst_results_2025
2025-09-25,Tanger,Génie de l'Environnement et Géosciences,GEG,58,last_complementary_waitlist,tawjihnet_fst_results_2025
2025-09-25,Tanger,Génie Physique,GP,34,last_complementary_waitlist,tawjihnet_fst_results_2025
2025-09-25,Tanger,Génie Informatique,GI,128,last_complementary_waitlist,tawjihnet_fst_results_2025
2025-09-25,Tanger,Mathématiques et Sciences des Données,MSD,40,last_complementary_waitlist,tawjihnet_fst_results_2025
2025-09-25,Tanger,Génie Mécanique et Systèmes Industriels,GMSI,14,last_complementary_waitlist,tawjihnet_fst_results_2025
2025-10-08,Al Hoceima,Génie Physique,GP,20,complementary_waitlist_2,tawjihnet_fst_results_2025
2025-10-08,Al Hoceima,Mathématiques et Sciences des Données,MSD,16,complementary_waitlist_2,tawjihnet_fst_results_2025
2025-10-08,Al Hoceima,Génie Electrique et Systèmes Embarqués,GESE,10,complementary_waitlist_2,tawjihnet_fst_results_2025
