date,city,track,drive_id
2025-08-04,Rabat,Medicine,1KE1RidtKiaIL6n_HVcuMwpiJLkoewhmx
2025-08-04,Rabat,Pharmacy,1_nbjemKj2Tm6zR3wnx58h0MVwM3ik_fs
2025-08-04,Rabat,Dental,1kPE9w6md8CYF0oNXtp-xB9-g3DuXhzQC
2025-08-04,Casablanca,Medicine,1byf6lR1KumB248CwCSvYlUMHSeVt43rl
2025-08-04,Casablanca,Pharmacy,11edhvUaUfmWV8sy0oFttuAHfpCVqIXl0
2025-08-04,Casablanca,Dental,1gca9b3xf-BqpmdZWd-dal2B0CK7yh5IJ
2025-08-04,Marrakech,Medicine,1S85Yb3xeEG6_k6Fqd8sLizWdRgGamueK
2025-08-04,Marrakech,Pharmacy,19IqOSlNWC8xUCZeyzWpb-DptpcGgZxwT
2025-08-04,Fes,Medicine,1VDOdGIA_4df6WuNEPFe5JwX7BX92IjTR
2025-08-04,Fes,Pharmacy,14uLFLfxX_EnF7cUvwz_K6myABwvbmWGO
2025-08-04,Fes,Dental,1p9zzMz_32fCXUbrtvMh1YgAWwYVW-J7V
2025-08-04,Oujda,Medicine,1eDmxnBtXr8nhHR8x6O-78F5-3j0NiQQw
2025-08-04,Oujda,Pharmacy,1ekhgjSYHmMTGuGCrf4SR_TSJc6bfl7Na
2025-08-04,Agadir,Medicine,1cVKpXb7Hy0Za-o_fiFKthNBIr1559bPF
2025-08-04,Agadir,Pharmacy,170PVC9GL6NJR6_jvDJkk9lk_T0frgB1p
2025-08-04,Tanger,Medicine,1g4fJ-843A45zfw9dUCdi4D_zYnWLEWvv
2025-08-04,Tanger,Pharmacy,1QjI9WsE2PHEX7ncduTZtktpJncO0gEbZ
2025-08-04,Laayoune,Medicine,1ET0aP3wVJZNQuPrO9_5ZFK4BKjKltmGA
2025-08-04,Guelmim,Medicine,1juWYtOh9m15hjj2pKD_xKCAcAQ-N4p6f
2025-08-04,Errachidia,Medicine,1O2SkvA3LQ7IYa1NbOxdQC3n_wNTi62RH
2025-08-04,Beni-Mellal,Medicine,1gpbc-H9BlrMmCOt6OioQrLdLSHoEKNH9
2025-07-21,Rabat,Medicine,1G2c9RORZoQaVlHxFyWEx2Ri0-0FQlvmL
2025-07-21,Rabat,Pharmacy,1WkPOuTJzNjueBtgEosO0hDFENdMjdzJY
2025-07-21,Rabat,Dental,1c7b3T_MlM0neb3w4zWMnclvYXfwow-Z3
2025-07-21,Casablanca,Medicine,1wqhvvbxN_K5Toa2ruHypw7xRZKMDeP7f
2025-07-21,Casablanca,Pharmacy,1_5GpVYAJeZb0ZPSgyqjNnAlVQmD2QlaT
2025-07-21,Casablanca,Dental,1U3ZDr8kGCpXzyJ8SJ9fvOSnN5ShrhwGx
2025-07-21,Marrakech,Medicine,1xMWzgmQNdhEs2ypfZBZKAo0w4P9bel6A
2025-07-21,Marrakech,Pharmacy,1ORjxLPmyOXy_Xar6bhdRkxwUAcYpIS2Z
2025-07-21,Fes,Medicine,1AKHLk_gDo37w_KzOc90PEEQbYf-vDmhA
2025-07-21,Fes,Pharmacy,1pppplmyeWSpeLuIrF36w-fZxDWcI87FG
2025-07-21,Fes,Dental,1Bfh-XgXfWvst5w8AXfFRSKTz97v5RRM6
2025-07-21,Oujda,Medicine,1aXgWylHjbZ_bUXwpdd1jwC4OWniMoIcX
2025-07-21,Oujda,Pharmacy,1zTfoTMeUUbmPMg4UeF80m6eOBxYACg_e
2025-07-21,Agadir,Medicine,1HxB7I9OZbdWrS12WuWiBxkuCnPA1hk1h
2025-07-21,Agadir,Pharmacy,1Vg9YQEPQdELuhUIXNCeMr23vlaChU1KL
2025-07-21,Tanger,Medicine,17Pi6gvG-uW5XV2KYv3Eknmv1jOy5eZk4
2025-07-21,Tanger,Pharmacy,16J0usZG_7jzug00M2wE7eluoaf0lJ3gd
2025-07-21,Laayoune,Medicine,1Q7heIhyGBu8Oc-CJ-JMXxtU8K4yNobNm
2025-07-21,Guelmim,Medicine,1RMej-S_w2HbXzXbwzBcisKYmrKI2L1B_
2025-07-21,Errachidia,Medicine,1ZXEHk4nYIaD2fQaMRMlJ7_df5VgG-w3q
2025-07-21,Beni-Mellal,Medicine,1EWmzrO8twBGJO7V_lbfNr4Qtr9onzkN4
