year,phase_date,city,track,candidates,max_rank,choice_1,choice_2,choice_3,source_url
2023,2023-09-08,Agadir,Medecine,627,630,499,84,44,https://drive.google.com/file/d/1fT4P58-q1VOlc6nlG6vruN5CzxALGV7Z/view?usp=sharing
2023,2023-09-08,Beni Mellal,Medecine,302,302,256,32,14,https://drive.google.com/file/d/1lTbKmhvxiae1OY-MVFr_rXvJ-s_4t6yV/view?usp=sharing
2023,2023-09-08,Casablanca,Dentaire,411,414,68,229,114,https://drive.google.com/file/d/1YJBr82AtKO2qkUmynKP4dThqKruHfkbD/view?usp=sharing
2023,2023-09-08,Casablanca,Medecine,1322,1340,964,215,143,https://drive.google.com/file/d/1D4sb5pjpN95uPCSLnkQeVZJ1K-TegO8M/view?usp=sharing
2023,2023-09-08,Casablanca,Pharmacie,278,280,43,70,165,https://drive.google.com/file/d/1ZRAi_IAua4dsAxMeuED7GHxWSIDdsakf/view?usp=sharing
2023,2023-09-08,Errachidia,Medecine,300,300,227,47,26,https://drive.google.com/file/d/14Et0-2-VgQLDXbL1OCzSOu9e-YhDatQj/view?usp=sharing
2023,2023-09-08,Fes,Dentaire,120,120,11,83,26,https://drive.google.com/file/d/1oGMgkOAkxRuGhVJyZ_cktitQrx19uk-w/view?usp=sharing
2023,2023-09-08,Fes,Medecine,995,1000,799,150,46,https://drive.google.com/file/d/1olGmTLsv5tSl30vo-CDWtKpC5EEb5QNi/view?usp=sharing
2023,2023-09-08,Fes,Pharmacie,149,150,6,45,98,https://drive.google.com/file/d/1iCa9Rk4rzbjDlS2QeOW64COb5nD2-0EA/view?usp=sharing
2023,2023-09-08,Guelmim,Medecine,200,200,182,13,5,https://drive.google.com/file/d/1NF47iKDR15lCw45J5htIg4LyneXtXm__/view?usp=sharing
2023,2023-09-08,Laayoune,Medecine,304,304,263,26,15,https://drive.google.com/file/d/1jvSCr2t7bRUrfmE_QkBBEGhvMyHbJ5RN/view?usp=sharing
2023,2023-09-08,Marrakech,Medecine,1087,1090,864,164,59,https://drive.google.com/file/d/1jR80oMBA19k0agTwQD10X0ifixOYT2rA/view?usp=sharing
2023,2023-09-08,Marrakech,Pharmacie,160,160,11,64,85,https://drive.google.com/file/d/1gFt9kRidOlTJIfa2hoHl9qPJJc6OQAtj/view?usp=sharing
2023,2023-09-08,Oujda,Medecine,919,920,835,68,16,https://drive.google.com/file/d/1eB6sqoyLR_AbplNRO2aPf6LZbjFJgE8g/view?usp=sharing
2023,2023-09-08,Oujda,Pharmacie,60,60,1,33,26,https://drive.google.com/file/d/12NABvV3-45x8nUYe6wThJLTiKHy4O_T2/view?usp=sharing
2023,2023-09-08,Rabat,Dentaire,346,348,52,200,94,https://drive.google.com/file/d/1slD_1Hxpm_1VcCSqa2HilDgU6EAupmXi/view?usp=sharing
2023,2023-09-08,Rabat,Medecine,1434,1456,1111,230,93,https://drive.google.com/file/d/1lmhVfns4Zi_0IPM28igkoPoXZ1WAQwPa/view?usp=sharing
2023,2023-09-08,Rabat,Pharmacie,367,370,32,97,238,https://drive.google.com/file/d/1YZ0Q4PTe6NZU9bzR0B65qDQ2urXWppE9/view?usp=sharing
2023,2023-09-08,Tanger,Medecine,806,812,666,116,24,https://drive.google.com/file/d/1_l-pHIJP5aZJJpT79ZAuRH6Gfz7m90B6/view?usp=sharing
2023,2023-09-08,Tanger,Pharmacie,188,190,13,70,105,https://drive.google.com/file/d/1597sfk7EjUF4vISWKyB7dtsaGmoxP7XQ/view?usp=sharing
